Round,Player,Hand,Score,Dealer Card,Dealer Score,Result,Reason
13840,1,3 7 Q,20,10,18,1,Higher Score than Dealer
13840,2,5 A 6 8,20,10,18,1,Higher Score than Dealer
13840,3,4 A 3,18,10,18,3,Tie with Dealer
13840,4,K A,21,10,18,1,Higher Score than Dealer
13840,5,9 7 4,20,10,18,1,Higher Score than Dealer
13841,1,6 9 7,22,Q,20,2,Bust
13841,2,6 7 Q,23,Q,20,2,Bust
13841,3,5 7 K,22,Q,20,2,Bust
13841,4,5 6 K,21,Q,20,1,Higher Score than Dealer
13841,5,7 8 A 4,20,Q,20,3,Tie with Dealer
13842,1,K J,20,J,17,1,Higher Score than Dealer
13842,2,K 2 Q,22,J,17,2,Bust
13842,3,5 4 5 3,17,J,17,3,Tie with Dealer
13842,4,Q 7,17,J,17,3,Tie with Dealer
13842,5,A 2 K 3 7,23,J,17,2,Bust
13843,1,Q 2 3 6,21,5,23,1,Dealer Bust
13843,2,9 10,19,5,23,1,Dealer Bust
13843,3,Q 7,17,5,23,1,Dealer Bust
13843,4,2 9 8,19,5,23,1,Dealer Bust
13843,5,9 5 Q,24,5,23,2,Bust
13844,1,J Q,20,2,21,2,Lost to Dealer
13844,2,J J,20,2,21,2,Lost to Dealer
13844,3,J 6 J,26,2,21,2,Bust
13844,4,A K,21,2,21,3,Tie with Dealer
13844,5,4 10 J,24,2,21,2,Bust
13845,1,3 3 5 8,19,10,21,2,Lost to Dealer
13845,2,9 K,19,10,21,2,Lost to Dealer
13845,3,10 K,20,10,21,2,Lost to Dealer
13845,4,4 5 5 8,22,10,21,2,Bust
13845,5,J J,20,10,21,2,Lost to Dealer
13846,1,J A,21,K,17,1,Higher Score than Dealer
13846,2,9 10,19,K,17,1,Higher Score than Dealer
13846,3,7 7 J,24,K,17,2,Bust
13846,4,6 3 10,19,K,17,1,Higher Score than Dealer
13846,5,5 6 9,20,K,17,1,Higher Score than Dealer
13847,1,K 9,19,9,20,2,Lost to Dealer
13847,2,5 J Q,25,9,20,2,Bust
13847,3,4 4 K,18,9,20,2,Lost to Dealer
13847,4,3 3 A 5 9,21,9,20,1,Higher Score than Dealer
13847,5,10 2 4 10,26,9,20,2,Bust
13848,1,10 6 A 6,23,8,19,2,Bust
13848,2,6 2 6 Q,24,8,19,2,Bust
13848,3,6 A 9 7,23,8,19,2,Bust
13848,4,5 4 10,19,8,19,3,Tie with Dealer
13848,5,4 Q 10,24,8,19,2,Bust
13849,1,2 4 8 10,24,3,25,2,Bust
13849,2,3 Q Q,23,3,25,2,Bust
13849,3,7 4 10,21,3,25,1,Dealer Bust
13849,4,9 Q,19,3,25,1,Dealer Bust
13849,5,10 10,20,3,25,1,Dealer Bust
13850,1,10 6 4,20,5,21,2,Lost to Dealer
13850,2,4 3 K,17,5,21,2,Lost to Dealer
13850,3,2 A Q 9,22,5,21,2,Bust
13850,4,9 9,18,5,21,2,Lost to Dealer
13850,5,K 3 Q,23,5,21,2,Bust
13851,1,3 6 9,18,K,21,2,Lost to Dealer
13851,2,7 9 5,21,K,21,3,Tie with Dealer
13851,3,2 10 Q,22,K,21,2,Bust
13851,4,2 9 K,21,K,21,3,Tie with Dealer
13851,5,2 9 A 2 5,19,K,21,2,Lost to Dealer
13852,1,8 J,18,10,20,2,Lost to Dealer
13852,2,3 10 6,19,10,20,2,Lost to Dealer
13852,3,8 Q,18,10,20,2,Lost to Dealer
13852,4,10 J,20,10,20,3,Tie with Dealer
13852,5,10 6 6,22,10,20,2,Bust
13853,1,8 K,18,8,18,3,Tie with Dealer
13853,2,A 3 J 5,19,8,18,1,Higher Score than Dealer
13853,3,9 J,19,8,18,1,Higher Score than Dealer
13853,4,3 Q 10,23,8,18,2,Bust
13853,5,6 3 J,19,8,18,1,Higher Score than Dealer
13854,1,K A,21,6,18,1,Higher Score than Dealer
13854,2,Q 9,19,6,18,1,Higher Score than Dealer
13854,3,8 10,18,6,18,3,Tie with Dealer
13854,4,A 5 K 7,23,6,18,2,Bust
13854,5,K A,21,6,18,1,Higher Score than Dealer
13855,1,5 K A 4,20,7,22,1,Dealer Bust
13855,2,J 5 3,18,7,22,1,Dealer Bust
13855,3,8 4 2 2 4,20,7,22,1,Dealer Bust
13855,4,Q 9,19,7,22,1,Dealer Bust
13855,5,8 3 10,21,7,22,1,Dealer Bust
13856,1,J 3 K,23,5,19,2,Bust
13856,2,A A 4 4,20,5,19,1,Higher Score than Dealer
13856,3,6 5 A K,22,5,19,2,Bust
13856,4,A Q,21,5,19,1,Higher Score than Dealer
13856,5,J 5 6,21,5,19,1,Higher Score than Dealer
13857,1,9 Q,19,A,21,2,Lost to Dealer
13857,2,3 K 4,17,A,21,2,Lost to Dealer
13857,3,5 8 10,23,A,21,2,Bust
13857,4,K 9,19,A,21,2,Lost to Dealer
13857,5,10 7,17,A,21,2,Lost to Dealer
13858,1,K 6 K,26,J,20,2,Bust
13858,2,A 7,18,J,20,2,Lost to Dealer
13858,3,J 7,17,J,20,2,Lost to Dealer
13858,4,8 9,17,J,20,2,Lost to Dealer
13858,5,3 3 9 6,21,J,20,1,Higher Score than Dealer
13859,1,4 3 Q,17,J,20,2,Lost to Dealer
13859,2,J Q,20,J,20,3,Tie with Dealer
13859,3,J Q,20,J,20,3,Tie with Dealer
13859,4,8 4 7,19,J,20,2,Lost to Dealer
13859,5,8 9,17,J,20,2,Lost to Dealer
13860,1,9 4 A 9,23,K,26,2,Bust
13860,2,9 6 A 2,18,K,26,1,Dealer Bust
13860,3,J 7,17,K,26,1,Dealer Bust
13860,4,7 K,17,K,26,1,Dealer Bust
13860,5,Q 8,18,K,26,1,Dealer Bust
13861,1,8 5 4,17,2,19,2,Lost to Dealer
13861,2,8 A,19,2,19,3,Tie with Dealer
13861,3,5 6 J,21,2,19,1,Higher Score than Dealer
13861,4,Q 3 A K,24,2,19,2,Bust
13861,5,2 K 5,17,2,19,2,Lost to Dealer
13862,1,Q 10,20,5,17,1,Higher Score than Dealer
13862,2,5 Q K,25,5,17,2,Bust
13862,3,8 Q,18,5,17,1,Higher Score than Dealer
13862,4,A 8,19,5,17,1,Higher Score than Dealer
13862,5,Q J,20,5,17,1,Higher Score than Dealer
13863,1,2 10 9,21,10,17,1,Higher Score than Dealer
13863,2,4 Q K,24,10,17,2,Bust
13863,3,7 J,17,10,17,3,Tie with Dealer
13863,4,3 Q 8,21,10,17,1,Higher Score than Dealer
13863,5,6 2 4 K,22,10,17,2,Bust
13864,1,6 2 6 A Q,25,J,20,2,Bust
13864,2,8 4 10,22,J,20,2,Bust
13864,3,7 10,17,J,20,2,Lost to Dealer
13864,4,A 2 K J,23,J,20,2,Bust
13864,5,10 6 K,26,J,20,2,Bust
13865,1,4 Q 5,19,Q,21,2,Lost to Dealer
13865,2,7 7 3,17,Q,21,2,Lost to Dealer
13865,3,9 10,19,Q,21,2,Lost to Dealer
13865,4,A 9,20,Q,21,2,Lost to Dealer
13865,5,6 9 3,18,Q,21,2,Lost to Dealer
13866,1,9 10,19,9,18,1,Higher Score than Dealer
13866,2,8 5 5,18,9,18,3,Tie with Dealer
13866,3,K K,20,9,18,1,Higher Score than Dealer
13866,4,Q 4 Q,24,9,18,2,Bust
13866,5,7 J,17,9,18,2,Lost to Dealer
13867,1,5 6 J,21,6,18,1,Higher Score than Dealer
13867,2,J A,21,6,18,1,Higher Score than Dealer
13867,3,9 5 3,17,6,18,2,Lost to Dealer
13867,4,9 J,19,6,18,1,Higher Score than Dealer
13867,5,7 J,17,6,18,2,Lost to Dealer
13868,1,A K,21,3,23,1,Dealer Bust
13868,2,10 3 3 K,26,3,23,2,Bust
13868,3,K 6 8,24,3,23,2,Bust
13868,4,Q 4 10,24,3,23,2,Bust
13868,5,3 K 10,23,3,23,2,Bust
13869,1,7 9 7,23,10,24,2,Bust
13869,2,A 3 7,21,10,24,1,Dealer Bust
13869,3,6 2 Q,18,10,24,1,Dealer Bust
13869,4,9 10,19,10,24,1,Dealer Bust
13869,5,6 J 9,25,10,24,2,Bust
13870,1,7 8 9,24,J,23,2,Bust
13870,2,7 9 A 7,24,J,23,2,Bust
13870,3,A Q,21,J,23,1,Dealer Bust
13870,4,7 9 2,18,J,23,1,Dealer Bust
13870,5,3 A 6,20,J,23,1,Dealer Bust
13871,1,9 10,19,Q,20,2,Lost to Dealer
13871,2,9 9,18,Q,20,2,Lost to Dealer
13871,3,9 9,18,Q,20,2,Lost to Dealer
13871,4,6 Q 2,18,Q,20,2,Lost to Dealer
13871,5,3 6 K,19,Q,20,2,Lost to Dealer
13872,1,9 10,19,A,26,1,Dealer Bust
13872,2,Q A,21,A,26,1,Dealer Bust
13872,3,9 6 8,23,A,26,2,Bust
13872,4,4 7 4 5,20,A,26,1,Dealer Bust
13872,5,4 10 K,24,A,26,2,Bust
13873,1,K 6 J,26,J,20,2,Bust
13873,2,7 J,17,J,20,2,Lost to Dealer
13873,3,9 3 2 9,23,J,20,2,Bust
13873,4,3 9 4 3,19,J,20,2,Lost to Dealer
13873,5,2 7 Q,19,J,20,2,Lost to Dealer
13874,1,5 6 7,18,6,20,2,Lost to Dealer
13874,2,Q Q,20,6,20,3,Tie with Dealer
13874,3,2 6 4 3 2,17,6,20,2,Lost to Dealer
13874,4,4 5 A,20,6,20,3,Tie with Dealer
13874,5,7 J,17,6,20,2,Lost to Dealer
13875,1,9 9,18,K,18,3,Tie with Dealer
13875,2,K 9,19,K,18,1,Higher Score than Dealer
13875,3,8 7 A 4,20,K,18,1,Higher Score than Dealer
13875,4,9 K,19,K,18,1,Higher Score than Dealer
13875,5,A Q,21,K,18,1,Higher Score than Dealer
13876,1,K 8,18,3,21,2,Lost to Dealer
13876,2,10 2 10,22,3,21,2,Bust
13876,3,4 8 8,20,3,21,2,Lost to Dealer
13876,4,A A Q 9,21,3,21,3,Tie with Dealer
13876,5,4 K 9,23,3,21,2,Bust
13877,1,K 7,17,6,25,1,Dealer Bust
13877,2,6 5 6,17,6,25,1,Dealer Bust
13877,3,3 A 4,18,6,25,1,Dealer Bust
13877,4,A 2 5,18,6,25,1,Dealer Bust
13877,5,7 9 10,26,6,25,2,Bust
13878,1,9 6 5,20,2,21,2,Lost to Dealer
13878,2,10 10,20,2,21,2,Lost to Dealer
13878,3,8 4 4 J,26,2,21,2,Bust
13878,4,7 Q,17,2,21,2,Lost to Dealer
13878,5,7 4 9,20,2,21,2,Lost to Dealer
13879,1,K 4 3,17,5,18,2,Lost to Dealer
13879,2,4 8 8,20,5,18,1,Higher Score than Dealer
13879,3,5 4 10,19,5,18,1,Higher Score than Dealer
13879,4,5 2 A,18,5,18,3,Tie with Dealer
13879,5,10 K,20,5,18,1,Higher Score than Dealer
13880,1,6 2 K,18,8,20,2,Lost to Dealer
13880,2,4 6 10,20,8,20,3,Tie with Dealer
13880,3,J J,20,8,20,3,Tie with Dealer
13880,4,A 3 8 J,22,8,20,2,Bust
13880,5,5 3 7 9,24,8,20,2,Bust
13881,1,4 7 6,17,3,23,1,Dealer Bust
13881,2,4 9 5,18,3,23,1,Dealer Bust
13881,3,5 2 8 K,25,3,23,2,Bust
13881,4,8 A,19,3,23,1,Dealer Bust
13881,5,7 6 8,21,3,23,1,Dealer Bust
13882,1,3 J Q,23,J,19,2,Bust
13882,2,8 J,18,J,19,2,Lost to Dealer
13882,3,8 9,17,J,19,2,Lost to Dealer
13882,4,6 6 9,21,J,19,1,Higher Score than Dealer
13882,5,8 2 K,20,J,19,1,Higher Score than Dealer
13883,1,2 J Q,22,7,17,2,Bust
13883,2,7 Q,17,7,17,3,Tie with Dealer
13883,3,7 A,18,7,17,1,Higher Score than Dealer
13883,4,4 K K,24,7,17,2,Bust
13883,5,2 9 Q,21,7,17,1,Higher Score than Dealer
13884,1,2 A 4 7 10,24,9,19,2,Bust
13884,2,J 2 2 K,24,9,19,2,Bust
13884,3,9 K,19,9,19,3,Tie with Dealer
13884,4,A 7,18,9,19,2,Lost to Dealer
13884,5,7 A,18,9,19,2,Lost to Dealer
13885,1,A 6,17,2,18,2,Lost to Dealer
13885,2,K 8,18,2,18,3,Tie with Dealer
13885,3,2 6 A,19,2,18,1,Higher Score than Dealer
13885,4,Q 3 Q,23,2,18,2,Bust
13885,5,K 7,17,2,18,2,Lost to Dealer
13886,1,5 5 J,20,8,20,3,Tie with Dealer
13886,2,6 6 5,17,8,20,2,Lost to Dealer
13886,3,8 3 3 7,21,8,20,1,Higher Score than Dealer
13886,4,3 9 J,22,8,20,2,Bust
13886,5,9 3 A 4 9,26,8,20,2,Bust
13887,1,4 Q 8,22,6,17,2,Bust
13887,2,2 2 5 6 J,25,6,17,2,Bust
13887,3,2 Q 5,17,6,17,3,Tie with Dealer
13887,4,A 6,17,6,17,3,Tie with Dealer
13887,5,J J,20,6,17,1,Higher Score than Dealer
13888,1,5 5 2 8,20,10,24,1,Dealer Bust
13888,2,9 2 7,18,10,24,1,Dealer Bust
13888,3,J 6 J,26,10,24,2,Bust
13888,4,8 2 6 7,23,10,24,2,Bust
13888,5,5 4 2 10,21,10,24,1,Dealer Bust
13889,1,K K,20,6,20,3,Tie with Dealer
13889,2,4 2 K K,26,6,20,2,Bust
13889,3,8 Q,18,6,20,2,Lost to Dealer
13889,4,8 6 6,20,6,20,3,Tie with Dealer
13889,5,8 K,18,6,20,2,Lost to Dealer
13890,1,Q J,20,10,23,1,Dealer Bust
13890,2,A J,21,10,23,1,Dealer Bust
13890,3,10 8,18,10,23,1,Dealer Bust
13890,4,8 A,19,10,23,1,Dealer Bust
13890,5,K K,20,10,23,1,Dealer Bust
13891,1,A 6 9 4,20,10,20,3,Tie with Dealer
13891,2,3 A 9 4 4,21,10,20,1,Higher Score than Dealer
13891,3,2 2 J 9,23,10,20,2,Bust
13891,4,8 J,18,10,20,2,Lost to Dealer
13891,5,2 2 J 8,22,10,20,2,Bust
13892,1,6 7 5,18,10,23,1,Dealer Bust
13892,2,Q 3 9,22,10,23,2,Bust
13892,3,A 6 Q 4,21,10,23,1,Dealer Bust
13892,4,3 7 6 8,24,10,23,2,Bust
13892,5,2 A A 6,20,10,23,1,Dealer Bust
13893,1,9 8,17,K,17,3,Tie with Dealer
13893,2,5 8 6,19,K,17,1,Higher Score than Dealer
13893,3,7 6 3 9,25,K,17,2,Bust
13893,4,7 K,17,K,17,3,Tie with Dealer
13893,5,9 3 A 3 2,18,K,17,1,Higher Score than Dealer
13894,1,Q 5 2,17,2,23,1,Dealer Bust
13894,2,9 7 10,26,2,23,2,Bust
13894,3,7 Q,17,2,23,1,Dealer Bust
13894,4,6 2 6 K,24,2,23,2,Bust
13894,5,6 10 A,17,2,23,1,Dealer Bust
13895,1,J 5 8,23,A,23,2,Bust
13895,2,3 4 2 9,18,A,23,1,Dealer Bust
13895,3,J 3 10,23,A,23,2,Bust
13895,4,Q Q,20,A,23,1,Dealer Bust
13895,5,A 9,20,A,23,1,Dealer Bust
13896,1,2 6 2 7,17,9,19,2,Lost to Dealer
13896,2,K Q,20,9,19,1,Higher Score than Dealer
13896,3,Q 8,18,9,19,2,Lost to Dealer
13896,4,K 3 K,23,9,19,2,Bust
13896,5,5 6 J,21,9,19,1,Higher Score than Dealer
13897,1,5 Q 6,21,3,22,1,Dealer Bust
13897,2,K 9,19,3,22,1,Dealer Bust
13897,3,8 Q,18,3,22,1,Dealer Bust
13897,4,Q 4 J,24,3,22,2,Bust
13897,5,4 8 K,22,3,22,2,Bust
13898,1,K J,20,Q,20,3,Tie with Dealer
13898,2,3 7 4 A Q,25,Q,20,2,Bust
13898,3,Q Q,20,Q,20,3,Tie with Dealer
13898,4,10 A,21,Q,20,1,Higher Score than Dealer
13898,5,9 A,20,Q,20,3,Tie with Dealer
13899,1,J 8,18,8,18,3,Tie with Dealer
13899,2,3 A 9 5,18,8,18,3,Tie with Dealer
13899,3,10 4 2 A Q,27,8,18,2,Bust
13899,4,K Q,20,8,18,1,Higher Score than Dealer
13899,5,10 10,20,8,18,1,Higher Score than Dealer
13900,1,J 2 8,20,K,20,3,Tie with Dealer
13900,2,5 A K K,26,K,20,2,Bust
13900,3,Q 9,19,K,20,2,Lost to Dealer
13900,4,3 Q 2 9,24,K,20,2,Bust
13900,5,5 8 8,21,K,20,1,Higher Score than Dealer
13901,1,10 8,18,4,17,1,Higher Score than Dealer
13901,2,7 4 6,17,4,17,3,Tie with Dealer
13901,3,7 4 5 2,18,4,17,1,Higher Score than Dealer
13901,4,3 6 5 6,20,4,17,1,Higher Score than Dealer
13901,5,4 7 2 Q,23,4,17,2,Bust
13902,1,K K,20,2,21,2,Lost to Dealer
13902,2,8 4 2 K,24,2,21,2,Bust
13902,3,4 A 5,20,2,21,2,Lost to Dealer
13902,4,K 8,18,2,21,2,Lost to Dealer
13902,5,3 A 2 K J,26,2,21,2,Bust
13903,1,5 6 10,21,10,20,1,Higher Score than Dealer
13903,2,7 A,18,10,20,2,Lost to Dealer
13903,3,7 7 K,24,10,20,2,Bust
13903,4,9 8,17,10,20,2,Lost to Dealer
13903,5,4 7 6,17,10,20,2,Lost to Dealer
13904,1,4 J J,24,8,17,2,Bust
13904,2,9 2 7,18,8,17,1,Higher Score than Dealer
13904,3,3 2 J 9,24,8,17,2,Bust
13904,4,7 Q,17,8,17,3,Tie with Dealer
13904,5,6 A 3,20,8,17,1,Higher Score than Dealer
13905,1,2 10 2 J,24,6,21,2,Bust
13905,2,3 9 Q,22,6,21,2,Bust
13905,3,Q 5 4,19,6,21,2,Lost to Dealer
13905,4,10 3 4,17,6,21,2,Lost to Dealer
13905,5,7 6 9,22,6,21,2,Bust
13906,1,2 4 10 8,24,K,20,2,Bust
13906,2,3 K 2 8,23,K,20,2,Bust
13906,3,2 9 5 6,22,K,20,2,Bust
13906,4,2 9 K,21,K,20,1,Higher Score than Dealer
13906,5,J 2 9,21,K,20,1,Higher Score than Dealer
13907,1,7 10,17,A,21,2,Lost to Dealer
13907,2,K 6 6,22,A,21,2,Bust
13907,3,J 5 10,25,A,21,2,Bust
13907,4,10 10,20,A,21,2,Lost to Dealer
13907,5,7 A,18,A,21,2,Lost to Dealer
13908,1,A 7,18,9,19,2,Lost to Dealer
13908,2,5 5 2 K,22,9,19,2,Bust
13908,3,4 Q Q,24,9,19,2,Bust
13908,4,K K,20,9,19,1,Higher Score than Dealer
13908,5,10 8,18,9,19,2,Lost to Dealer
13909,1,3 A 4,18,10,21,2,Lost to Dealer
13909,2,J J,20,10,21,2,Lost to Dealer
13909,3,5 Q K,25,10,21,2,Bust
13909,4,8 4 5,17,10,21,2,Lost to Dealer
13909,5,5 9 9,23,10,21,2,Bust
13910,1,Q 2 3 4,19,9,19,3,Tie with Dealer
13910,2,5 4 3 3 2,17,9,19,2,Lost to Dealer
13910,3,9 3 10,22,9,19,2,Bust
13910,4,A 6 6 2 8,23,9,19,2,Bust
13910,5,2 K 8,20,9,19,1,Higher Score than Dealer
13911,1,2 6 8 10,26,10,17,2,Bust
13911,2,6 2 K,18,10,17,1,Higher Score than Dealer
13911,3,A 8,19,10,17,1,Higher Score than Dealer
13911,4,A A K J,22,10,17,2,Bust
13911,5,8 J,18,10,17,1,Higher Score than Dealer
13912,1,5 2 8 2,17,5,23,1,Dealer Bust
13912,2,K 7,17,5,23,1,Dealer Bust
13912,3,K J,20,5,23,1,Dealer Bust
13912,4,Q 4 8,22,5,23,2,Bust
13912,5,A K,21,5,23,1,Dealer Bust
13913,1,6 7 9,22,10,17,2,Bust
13913,2,9 A,20,10,17,1,Higher Score than Dealer
13913,3,3 Q 9,22,10,17,2,Bust
13913,4,K 9,19,10,17,1,Higher Score than Dealer
13913,5,7 4 3 2 8,24,10,17,2,Bust
13914,1,5 2 J,17,7,18,2,Lost to Dealer
13914,2,5 9 9,23,7,18,2,Bust
13914,3,2 Q 3 Q,25,7,18,2,Bust
13914,4,9 4 Q,23,7,18,2,Bust
13914,5,J K,20,7,18,1,Higher Score than Dealer
13915,1,7 A,18,9,19,2,Lost to Dealer
13915,2,Q K,20,9,19,1,Higher Score than Dealer
13915,3,2 K 4 8,24,9,19,2,Bust
13915,4,3 2 2 7 5,19,9,19,3,Tie with Dealer
13915,5,Q 5 2,17,9,19,2,Lost to Dealer
13916,1,A 2 9 J,22,6,25,2,Bust
13916,2,A A 7,19,6,25,1,Dealer Bust
13916,3,K 10,20,6,25,1,Dealer Bust
13916,4,A 10,21,6,25,1,Dealer Bust
13916,5,10 K,20,6,25,1,Dealer Bust
13917,1,10 K,20,9,19,1,Higher Score than Dealer
13917,2,9 Q,19,9,19,3,Tie with Dealer
13917,3,J 5 K,25,9,19,2,Bust
13917,4,8 8 10,26,9,19,2,Bust
13917,5,Q 4 2 J,26,9,19,2,Bust
13918,1,2 J A 5,18,J,17,1,Higher Score than Dealer
13918,2,J 8,18,J,17,1,Higher Score than Dealer
13918,3,J K,20,J,17,1,Higher Score than Dealer
13918,4,3 5 2 J,20,J,17,1,Higher Score than Dealer
13918,5,3 3 10 2,18,J,17,1,Higher Score than Dealer
13919,1,4 Q A 4,19,4,18,1,Higher Score than Dealer
13919,2,8 Q,18,4,18,3,Tie with Dealer
13919,3,3 3 3 7 K,26,4,18,2,Bust
13919,4,8 4 A Q,23,4,18,2,Bust
13919,5,7 7 8,22,4,18,2,Bust
13920,1,5 10 2,17,K,20,2,Lost to Dealer
13920,2,8 6 K,24,K,20,2,Bust
13920,3,10 2 Q,22,K,20,2,Bust
13920,4,3 5 4 J,22,K,20,2,Bust
13920,5,5 8 4,17,K,20,2,Lost to Dealer
13921,1,7 2 10,19,10,20,2,Lost to Dealer
13921,2,8 K,18,10,20,2,Lost to Dealer
13921,3,K 9,19,10,20,2,Lost to Dealer
13921,4,7 9 3,19,10,20,2,Lost to Dealer
13921,5,6 J 5,21,10,20,1,Higher Score than Dealer
13922,1,3 4 A,18,5,23,1,Dealer Bust
13922,2,Q K,20,5,23,1,Dealer Bust
13922,3,3 A 2 3,19,5,23,1,Dealer Bust
13922,4,4 9 K,23,5,23,2,Bust
13922,5,6 7 4,17,5,23,1,Dealer Bust
13923,1,J K,20,10,19,1,Higher Score than Dealer
13923,2,Q 7,17,10,19,2,Lost to Dealer
13923,3,5 6 4 5,20,10,19,1,Higher Score than Dealer
13923,4,J 8,18,10,19,2,Lost to Dealer
13923,5,A K,21,10,19,1,Higher Score than Dealer
13924,1,A Q,21,3,21,3,Tie with Dealer
13924,2,10 Q,20,3,21,2,Lost to Dealer
13924,3,2 2 6 K,20,3,21,2,Lost to Dealer
13924,4,K K,20,3,21,2,Lost to Dealer
13924,5,10 4 8,22,3,21,2,Bust
13925,1,5 A 7 K,23,2,19,2,Bust
13925,2,3 3 4 K,20,2,19,1,Higher Score than Dealer
13925,3,8 J,18,2,19,2,Lost to Dealer
13925,4,A 8,19,2,19,3,Tie with Dealer
13925,5,K 3 6,19,2,19,3,Tie with Dealer
13926,1,A J,21,K,20,1,Higher Score than Dealer
13926,2,2 4 9 4,19,K,20,2,Lost to Dealer
13926,3,4 K 3,17,K,20,2,Lost to Dealer
13926,4,9 7 2,18,K,20,2,Lost to Dealer
13926,5,4 8 J,22,K,20,2,Bust
13927,1,7 6 4,17,K,19,2,Lost to Dealer
13927,2,Q 6 7,23,K,19,2,Bust
13927,3,9 7 6,22,K,19,2,Bust
13927,4,10 K,20,K,19,1,Higher Score than Dealer
13927,5,Q 2 A 9,22,K,19,2,Bust
13928,1,A 3 7,21,J,20,1,Higher Score than Dealer
13928,2,4 9 6,19,J,20,2,Lost to Dealer
13928,3,K 5 6,21,J,20,1,Higher Score than Dealer
13928,4,4 2 4 K,20,J,20,3,Tie with Dealer
13928,5,10 4 10,24,J,20,2,Bust
13929,1,9 5 9,23,2,19,2,Bust
13929,2,4 10 A 5,20,2,19,1,Higher Score than Dealer
13929,3,10 8,18,2,19,2,Lost to Dealer
13929,4,2 8 2 10,22,2,19,2,Bust
13929,5,10 8,18,2,19,2,Lost to Dealer
13930,1,J Q,20,6,18,1,Higher Score than Dealer
13930,2,3 6 9,18,6,18,3,Tie with Dealer
13930,3,K 2 3 3,18,6,18,3,Tie with Dealer
13930,4,7 3 A,21,6,18,1,Higher Score than Dealer
13930,5,2 5 5 K,22,6,18,2,Bust
13931,1,A A 8,20,7,18,1,Higher Score than Dealer
13931,2,9 Q,19,7,18,1,Higher Score than Dealer
13931,3,A 3 4,18,7,18,3,Tie with Dealer
13931,4,7 3 3 5,18,7,18,3,Tie with Dealer
13931,5,8 Q,18,7,18,3,Tie with Dealer
13932,1,2 7 9,18,4,19,2,Lost to Dealer
13932,2,3 8 6,17,4,19,2,Lost to Dealer
13932,3,9 6 6,21,4,19,1,Higher Score than Dealer
13932,4,9 5 6,20,4,19,1,Higher Score than Dealer
13932,5,K 10,20,4,19,1,Higher Score than Dealer
13933,1,5 9 K,24,A,21,2,Bust
13933,2,5 6 7,18,A,21,2,Lost to Dealer
13933,3,10 10,20,A,21,2,Lost to Dealer
13933,4,4 K 7,21,A,21,3,Tie with Dealer
13933,5,J J,20,A,21,2,Lost to Dealer
13934,1,J 10,20,10,18,1,Higher Score than Dealer
13934,2,3 8 7,18,10,18,3,Tie with Dealer
13934,3,3 9 2 3,17,10,18,2,Lost to Dealer
13934,4,Q K,20,10,18,1,Higher Score than Dealer
13934,5,9 4 6,19,10,18,1,Higher Score than Dealer
13935,1,2 5 J,17,5,23,1,Dealer Bust
13935,2,7 10,17,5,23,1,Dealer Bust
13935,3,2 10 K,22,5,23,2,Bust
13935,4,K 9,19,5,23,1,Dealer Bust
13935,5,10 8,18,5,23,1,Dealer Bust
13936,1,5 6 9,20,2,24,1,Dealer Bust
13936,2,K 2 6,18,2,24,1,Dealer Bust
13936,3,7 3 6 3,19,2,24,1,Dealer Bust
13936,4,8 4 J,22,2,24,2,Bust
13936,5,7 9 K,26,2,24,2,Bust
13937,1,7 8 4,19,2,23,1,Dealer Bust
13937,2,J 6 9,25,2,23,2,Bust
13937,3,6 J J,26,2,23,2,Bust
13937,4,9 4 3 9,25,2,23,2,Bust
13937,5,8 J,18,2,23,1,Dealer Bust
13938,1,4 8 8,20,6,25,1,Dealer Bust
13938,2,4 2 J 2,18,6,25,1,Dealer Bust
13938,3,7 9 6,22,6,25,2,Bust
13938,4,7 Q,17,6,25,1,Dealer Bust
13938,5,2 4 K 2,18,6,25,1,Dealer Bust
13939,1,3 7 Q,20,Q,18,1,Higher Score than Dealer
13939,2,J 10,20,Q,18,1,Higher Score than Dealer
13939,3,3 8 6,17,Q,18,2,Lost to Dealer
13939,4,J 10,20,Q,18,1,Higher Score than Dealer
13939,5,7 K,17,Q,18,2,Lost to Dealer
13940,1,A 2 9 9,21,Q,22,1,Dealer Bust
13940,2,3 Q J,23,Q,22,2,Bust
13940,3,K 6 K,26,Q,22,2,Bust
13940,4,10 8,18,Q,22,1,Dealer Bust
13940,5,J J,20,Q,22,1,Dealer Bust
13941,1,2 3 J 2,17,5,22,1,Dealer Bust
13941,2,10 J,20,5,22,1,Dealer Bust
13941,3,2 6 J,18,5,22,1,Dealer Bust
13941,4,K 4 5,19,5,22,1,Dealer Bust
13941,5,8 8 2,18,5,22,1,Dealer Bust
13942,1,3 4 2 J,19,7,21,2,Lost to Dealer
13942,2,2 A 3 2,18,7,21,2,Lost to Dealer
13942,3,4 Q Q,24,7,21,2,Bust
13942,4,J 7,17,7,21,2,Lost to Dealer
13942,5,A A 6,18,7,21,2,Lost to Dealer
13943,1,Q Q,20,Q,20,3,Tie with Dealer
13943,2,10 Q,20,Q,20,3,Tie with Dealer
13943,3,10 10,20,Q,20,3,Tie with Dealer
13943,4,3 6 10,19,Q,20,2,Lost to Dealer
13943,5,4 7 6,17,Q,20,2,Lost to Dealer
13944,1,2 10 9,21,6,20,1,Higher Score than Dealer
13944,2,A 8,19,6,20,2,Lost to Dealer
